CARDNUM;CREDLIM;CUSTNO;EXPDT;FINCHG;MINPYMTDUE;NEWBAL;PASTDUEAMT;PMTDUEDT;PREVBAL;RATE;STMTDT
8590124265829051;7000;962353;01/05/2004;0;0;-0,96;0;28/04/2003;-0,96;12,9;29/03/2003
8590123556942657;2000;202028;01/10/2004;20,39;0;1804,42;0;11/05/2003;1838,97;12,9;11/04/2003
8590121394166062;4900;051593;01/06/2005;66,57;82;3921,3;0;10/05/2003;3939,73;12,9;10/04/2003
8590129151565076;9000;962353;01/06/2004;0;10;348,22;0;30/04/2003;173,49;12,9;31/03/2003
8590128152739875;7000;503458;01/09/2005;0;116;5543,37;0;05/05/2003;-0,22;12,9;05/04/2003
8590128906141710;6300;503458;01/06/2005;124,02;233,39;6463,56;98,39;03/05/2003;6581,54;12,9;03/04/2003
8590122982198784;9000;284354;01/02/2004;0;16;757,18;0;11/05/2003;762,83;12,9;11/04/2003
8590122194440387;9000;444413;01/11/2004;0;11;521,78;0;30/04/2003;61,08;12,9;31/03/2003
8590123023155499;6900;250402;01/11/2004;2,53;0;152,34;0;28/04/2003;188,86;12,9;29/03/2003
8590125071756786;9000;503458;01/04/2004;0;14;629,53;0;26/04/2003;268,02;12,9;27/03/2003
8590129161888011;4400;925007;01/03/2004;0;0;-0,55;0;07/05/2003;-0,55;12,9;07/04/2003
8590129079724782;9000;778088;01/05/2005;0;21;997,65;0;14/05/2003;331,27;12,9;14/04/2003
8590121278290111;9000;962353;01/01/2005;0;0;0;0;21/05/2003;0;12,9;21/04/2003
8590122464207976;9000;250402;01/02/2005;0;10;238,78;0;13/05/2003;103,52;12,9;13/04/2003
8590128375704378;9000;812465;01/02/2004;48,07;0;2773,5;0;19/05/2003;2807,01;12,9;19/04/2003
8590127538854636;3600;962353;01/06/2004;81,38;662,3;4449,57;569,3;11/05/2003;4318,19;12,9;11/04/2003
8590123856474124;8000;925007;01/02/2005;0;0;-0,54;0;19/05/2003;0;12,9;19/04/2003
8590125625945448;1000;925007;01/06/2005;0;21,74;868,15;0;10/05/2003;889,89;12,9;10/04/2003
8590120534914664;6500;202028;01/03/2005;140,34;445;7500,24;288;06/05/2003;7461,9;12,9;06/04/2003
8590125567358756;12000;051593;01/09/2005;0;11;519,98;0;26/04/2003;96,74;12,9;27/03/2003
8590125164950297;8000;778088;01/10/2004;0;0;0;0;20/05/2003;0;12,9;20/04/2003
8590121442723858;4300;444413;01/05/2004;74,06;90;4285,77;0;18/05/2003;4271;12,9;18/04/2003
8590121785018691;9000;051593;01/09/2004;0;10;19,45;0;14/05/2003;61,33;12,9;14/04/2003
8590125574108273;8000;962353;01/07/2004;2,74;20;140,34;10;29/04/2003;108,6;12,9;30/03/2003
8590121807674351;8000;359310;01/05/2004;0;10;187,43;0;28/04/2003;135,16;12,9;29/03/2003
8590126611059920;6500;051593;01/02/2005;21,52;0;184,74;0;30/04/2003;1646,67;12,9;31/03/2003
8590128164445837;7000;503458;01/08/2005;0;10;301,3;0;20/05/2003;267,01;12,9;20/04/2003
8590126256532094;7000;202028;01/11/2004;9,9;21;519,27;10;11/05/2003;426,37;12,9;11/04/2003
8590126069373535;8500;359310;01/09/2005;0;0;-0,86;0;11/05/2003;-0,86;12,9;11/04/2003
8590126094587038;6000;051593;01/07/2004;0;0;0;0;03/05/2003;79,34;12,9;03/04/2003
8590123392942072;7900;778088;01/04/2005;0;10;43,52;0;18/05/2003;105,02;12,9;18/04/2003
8590128347406193;9000;051593;01/07/2004;0;10;96,02;0;10/05/2003;537,95;12,9;10/04/2003
8590127238809317;8800;051593;01/10/2005;3,94;0;17,47;0;28/04/2003;168,53;12,9;29/03/2003
8590124169042633;8000;812465;01/01/2005;88,74;0;6262,47;0;05/05/2003;5908,17;12,9;05/04/2003
8590120233319873;4500;812465;01/10/2004;68,64;56;2657,96;0;20/05/2003;2447,3;12,9;20/04/2003
8590121791180186;9000;812465;01/03/2005;0;10;54,49;0;26/04/2003;13,63;12,9;27/03/2003
8590121747771148;8600;051593;01/10/2005;58,21;0;3146,66;0;20/05/2003;3088,45;12,9;20/04/2003
8590128540908810;6500;778088;01/10/2005;70,94;0;4078,94;0;26/04/2003;4208;12,9;27/03/2003
8590123890848488;8900;778088;01/08/2005;0;43;2041,8;0;28/04/2003;59,93;12,9;29/03/2003
8590124466089977;8600;250402;01/04/2005;51,08;0;3039,61;0;18/05/2003;2980,63;12,9;18/04/2003
8590125684472398;3600;284354;01/11/2005;0;10;140,24;0;28/04/2003;163,35;12,9;29/03/2003
8590126882512521;9000;812465;01/08/2004;0;10;77,51;0;30/04/2003;99,59;12,9;31/03/2003
8590125084016948;7000;444413;01/10/2005;3,25;0;174,51;0;04/05/2003;196,26;12,9;04/04/2003
8590122623055360;6500;051593;01/09/2005;0;0;195,29;0;04/05/2003;184,74;12,9;04/04/2003
8590124156904525;7000;202028;01/09/2004;0;0;-0,96;0;26/04/2003;-0,96;12,9;27/03/2003
8590120771950301;6500;202028;01/09/2005;46,13;103;4941,13;0;29/04/2003;5000;12,9;30/03/2003
8590127355595631;8900;359310;01/01/2005;0;10;265,77;0;19/05/2003;0;12,9;19/04/2003
8590129918391461;5900;503458;01/10/2005;0;0;0;0;19/05/2003;0;12,9;19/04/2003
8590129391191391;8200;778088;01/11/2005;7,91;0;593,73;0;10/05/2003;534,68;12,9;10/04/2003
8590123423824145;7000;051593;01/03/2005;0;0;-0,1;0;19/05/2003;-0,1;12,9;19/04/2003
8590127785632552;9000;503458;01/02/2005;0;17;805;0;07/05/2003;0;12,9;07/04/2003
8590122777921186;8000;962353;01/03/2005;0;0;-0,46;0;17/05/2003;-0,46;12,9;17/04/2003
8590126880903839;2600;812465;01/09/2004;23,08;0;1272,99;0;30/04/2003;1319,91;12,9;31/03/2003
8590125273861859;9000;878035;01/03/2004;65,49;77;3656,7;0;05/05/2003;3668,21;12,9;05/04/2003
8590121610225371;5000;812465;01/04/2004;0;0;-0,35;0;05/05/2003;-0,35;12,9;05/04/2003
8590124396138937;5800;812465;01/03/2005;0;10;116,86;0;13/05/2003;93,12;12,9;13/04/2003
8590123081706198;8000;925007;01/08/2005;0;10;92,35;0;12/05/2003;107,38;12,9;12/04/2003
8590121663451645;7000;812465;01/03/2004;0;10;139,9;0;18/05/2003;744,2;12,9;18/04/2003
8590120092563655;6800;202028;01/11/2004;8,07;17,52;383,22;7,52;30/04/2003;229,32;12,9;31/03/2003
8590123870802696;3600;962353;01/08/2005;0;755,3;0;0;24/05/2003;4449,57;12,9;24/04/2003
8590122098547303;5400;051593;01/01/2004;62,13;64;3986,42;0;03/05/2003;4004,29;12,9;03/04/2003
8590123218468648;7600;051593;01/05/2004;0;0;-0,08;0;14/05/2003;-0,08;12,9;14/04/2003
8590126746343410;6000;503458;01/10/2005;0;0;-0,09;0;06/05/2003;-0,09;12,9;06/04/2003
8590126493359855;9000;778088;01/08/2005;0;12;546,38;0;13/05/2003;297,65;12,9;13/04/2003
8590124558281199;6400;812465;01/07/2004;0;12;556,85;0;28/04/2003;351,53;12,9;29/03/2003
8590127107801597;7900;778088;01/09/2005;0;0;-0,77;0;07/05/2003;-0,77;12,9;07/04/2003
8590129941309567;9000;962353;01/02/2005;0;27;1268,77;0;13/05/2003;998,94;12,9;13/04/2003
8590124173781895;8000;503458;01/05/2005;0;0;-0,89;0;13/05/2003;-0,89;12,9;13/04/2003
8590126272564898;5600;250402;01/06/2004;13,57;0;806,17;0;29/04/2003;792,6;12,9;30/03/2003
8590127152107607;7000;250402;01/10/2005;0;0;0;0;06/05/2003;0;12,9;06/04/2003
8590125693710607;9000;778088;01/01/2004;0;10;14,9;0;11/05/2003;0;12,9;11/04/2003
8590127958620445;9500;503458;01/03/2004;0;10;40,83;0;28/04/2003;69,89;12,9;29/03/2003
8590122812893892;9000;284354;01/06/2004;0;10;390,04;0;13/05/2003;286,03;12,9;13/04/2003
8590126874849092;2400;925007;01/03/2005;49,06;184;2977,67;121;05/05/2003;2893,61;12,9;05/04/2003
8590122176454161;9000;051593;01/01/2004;0;21;963,7;0;30/04/2003;822,8;12,9;31/03/2003
8590122631528386;9000;812465;01/04/2005;0;10;119,36;0;17/05/2003;311,58;12,9;17/04/2003
8590125281347499;7400;812465;01/08/2005;67,82;0;3961,14;0;19/05/2003;3993,32;12,9;19/04/2003
8590129358036781;1300;250402;01/06/2005;0;31;1285,86;0;14/05/2003;1316,86;12,9;14/04/2003
8590121469799624;18000;503458;01/08/2005;0;0;-0,04;0;14/05/2003;-0,04;12,9;14/04/2003
8590125272447003;9000;925007;01/08/2004;29,18;0;1693,84;0;10/05/2003;1689,71;12,9;10/04/2003
8590128346463420;9000;051593;01/09/2005;0;10;410,59;0;10/05/2003;245,71;12,9;10/04/2003
8590128263176714;9000;503458;01/03/2005;3,87;0;245,61;0;28/04/2003;250,74;12,9;29/03/2003
8590128006917664;7900;925007;01/04/2004;84,82;0;4903,49;0;21/05/2003;4901,3;12,9;21/04/2003
8590129400665510;9500;051593;01/02/2004;0,93;5,28;71,39;0;11/05/2003;34,56;12,9;11/04/2003
8590121044024386;7400;202028;01/01/2005;109,6;41;7020,7;0;03/05/2003;7017,1;12,9;03/04/2003
8590126590309991;9000;962353;01/04/2004;5,01;0;255,89;0;29/04/2003;307,82;12,9;30/03/2003
8590128379233112;9000;503458;01/10/2004;0;10;29,65;0;29/04/2003;115,65;12,9;30/03/2003
8590127539604447;9000;444413;01/02/2005;0;0;-0,48;0;20/05/2003;-0,48;12,9;20/04/2003
8590124910032035;9500;250402;01/05/2005;174,76;423;10231;209;19/05/2003;9998,24;12,9;19/04/2003
8590120923083354;7400;051593;01/02/2005;66,53;53;3889,76;0;28/04/2003;3924,28;12,9;29/03/2003
8590124581105605;7500;812465;01/03/2004;55,51;0;2996,64;0;29/04/2003;2250,86;12,9;30/03/2003
8590125757369024;7100;444413;01/08/2004;110,3;95;7045,71;0;10/05/2003;7069,43;12,9;10/04/2003
8590120772096763;9000;250402;01/01/2005;0;365;3468,81;292;21/05/2003;3468,81;12,9;21/04/2003
8590126686866268;8900;444413;01/11/2005;0;10;50,76;0;06/05/2003;30,88;12,9;06/04/2003
8590125255144947;8600;359310;01/05/2005;0;0;-103,81;0;28/04/2003;-137,26;12,9;29/03/2003
8590124434068810;6100;284354;01/01/2005;10,84;0;621,01;0;11/05/2003;798,32;12,9;11/04/2003
8590126821848844;7000;812465;01/06/2004;122;127,88;6876,02;0;19/05/2003;6894,02;12,9;19/04/2003
8590121837400759;7900;778088;01/04/2004;0;0;-0,04;0;11/05/2003;-0,04;12,9;11/04/2003
8590120969360742;1500;962353;01/05/2004;48,84;57;2735,73;0;14/05/2003;2726,89;12,9;14/04/2003
8590120032047834;9000;812465;01/06/2004;0;10;253,79;0;30/04/2003;491,18;12,9;31/03/2003
8590128043675284;8600;503458;01/03/2004;0;0;-0,22;0;12/05/2003;-0,22;12,9;12/04/2003
8590121121460384;2200;284354;01/07/2005;50,52;59;2795,27;0;29/04/2003;2805,75;12,9;30/03/2003
8590121105619322;8000;925007;01/04/2004;0;19;906,61;0;13/05/2003;795,59;12,9;13/04/2003
8590121873994032;8000;778088;01/05/2005;0;10;127,44;0;12/05/2003;-4,35;12,9;12/04/2003
8590128606564462;9000;284354;01/07/2004;0;11;500,76;0;04/05/2003;403,36;12,9;04/04/2003
8590120807946744;9000;051593;01/07/2004;0;44;2066,29;0;07/05/2003;848,61;12,9;07/04/2003
8590125049097710;7000;778088;01/04/2005;0;0;0;0;19/05/2003;-0,05;12,9;19/04/2003
8590127734155216;2000;202028;01/01/2005;36,76;230;2240,06;184;05/05/2003;2168,3;12,9;05/04/2003
8590120860716211;3800;503458;01/09/2005;14,02;0;977,54;0;03/05/2003;1822,08;12,9;03/04/2003
8590126241225802;5900;202028;01/11/2005;0;10;195,39;0;14/05/2003;205,4;12,9;14/04/2003
8590125205486541;6400;284354;01/11/2005;73,21;178;4312,16;88;30/04/2003;4209,95;12,9;31/03/2003
8590127875632051;1500;444413;01/07/2004;11,33;19;661,01;0;06/05/2003;674,68;12,9;06/04/2003
8590124535028843;9000;812465;01/08/2004;0;16;725,37;0;20/05/2003;438,85;12,9;20/04/2003
8590121160951469;5000;202028;01/04/2004;57,86;400;3485,68;300;13/05/2003;3412,82;12,9;13/04/2003
8590129792699147;4200;051593;01/08/2004;49,54;40;2806,15;0;17/05/2003;2831,61;12,9;17/04/2003
8590124214758062;9500;925007;01/04/2005;0;14;652,62;0;10/05/2003;401,2;12,9;10/04/2003
8590122221251495;7000;051593;01/10/2004;0;0;0;0;21/05/2003;40;12,9;21/04/2003
8590123730566134;6500;962353;01/04/2005;9,6;0;417,63;0;03/05/2003;661,05;12,9;03/04/2003
8590123361284174;1700;812465;01/09/2005;0;102;1562,18;68;29/04/2003;1562,18;12,9;30/03/2003
8590129554875319;1000;250402;01/01/2004;6,9;23;398,69;0;14/05/2003;414,79;12,9;14/04/2003
8590126961897004;5000;444413;01/01/2004;0;56;2650,44;0;21/05/2003;2761,03;12,9;21/04/2003
8590128601426195;8000;812465;01/03/2004;31,11;0;2257,96;0;20/05/2003;2040,88;12,9;20/04/2003
8590122692664620;6000;051593;01/07/2005;0;10;114,9;0;27/04/2003;198,27;12,9;28/03/2003
8590125311193609;8000;778088;01/09/2005;52,54;0;2235,97;0;28/04/2003;1068,82;12,9;29/03/2003
8590129571378016;9000;812465;01/06/2005;0;11;519,47;0;26/04/2003;287,63;12,9;27/03/2003
8590127591501905;4900;503458;01/02/2005;0;0;0;0;26/04/2003;-87;12,9;27/03/2003
8590129982969758;7000;925007;01/07/2005;103,27;0;4287,33;0;17/05/2003;7542,06;12,9;17/04/2003
8590126325224111;4700;202028;01/09/2005;21,3;0;1258,92;0;29/04/2003;1637,62;12,9;30/03/2003
8590127855367963;5900;812465;01/11/2005;79,04;0;5518,02;0;07/05/2003;5439,25;12,9;07/04/2003
8590122261490788;5600;962353;01/03/2004;0;838;0;0;24/05/2003;5792,57;12,9;24/04/2003
8590123653778366;7000;202028;01/08/2004;0;10;102,44;0;18/05/2003;0;12,9;18/04/2003
8590123855538829;10000;284354;01/06/2005;0;10;21,95;0;06/05/2003;21,95;12,9;06/04/2003
8590120674263418;7900;051593;01/07/2005;0;0;-0,19;0;18/05/2003;-0,19;12,9;18/04/2003
8590122548770459;9000;202028;01/03/2005;0;20;918,26;0;12/05/2003;680,55;12,9;12/04/2003
8590125699407125;7900;444413;01/02/2005;0;0;0;0;10/05/2003;9,79;12,9;10/04/2003
8590126866956930;9000;051593;01/02/2004;0;10;296,8;0;26/04/2003;418,05;12,9;27/03/2003
8590128221143124;7100;812465;01/07/2005;0;10;129,52;0;12/05/2003;353,38;12,9;12/04/2003
8590124651080991;6400;778088;01/05/2005;0;0;-0,05;0;10/05/2003;-0,05;12,9;10/04/2003
8590127911877979;8000;812465;01/11/2004;0;0;0;0;20/05/2003;0;12,9;20/04/2003
8590128759809183;9000;503458;01/09/2004;0;10;38,76;0;05/05/2003;507,2;12,9;05/04/2003
8590122780127996;5200;202028;01/11/2004;0;0;-0,12;0;17/05/2003;-0,12;12,9;17/04/2003
8590125589521771;4900;284354;01/01/2005;44,88;113;2690,6;56;12/05/2003;2680,72;12,9;12/04/2003
8590122716976418;9000;284354;01/10/2004;79,31;0;5070,35;0;17/05/2003;3768,61;12,9;17/04/2003
8590123662689017;9000;925007;01/10/2005;0;10;88,25;0;19/05/2003;14,9;12,9;19/04/2003
8590123916128793;600;812465;01/08/2005;8,5;0;461,48;0;06/05/2003;527,98;12,9;06/04/2003
8590124516215636;9000;284354;01/11/2005;8,7;0;607,42;0;29/04/2003;598,72;12,9;30/03/2003
8590124183859322;8000;812465;01/04/2005;0;14;644,79;0;19/05/2003;708,87;12,9;19/04/2003
8590127452939923;7000;444413;01/01/2004;0;0;-0,03;0;14/05/2003;-0,03;12,9;14/04/2003
8590122381855730;7900;503458;01/10/2005;0;0;-0,42;0;29/04/2003;-0,42;12,9;30/03/2003
8590126683120264;9000;444413;01/06/2005;0;10;82,72;0;14/05/2003;313,09;12,9;14/04/2003
8590126382371244;6400;444413;01/02/2005;58,14;132;3171,82;65;27/04/2003;3084,68;12,9;28/03/2003
8590126772736377;8700;444413;01/10/2005;124,85;180;8633,98;0;28/04/2003;8691,13;12,9;29/03/2003
8590129875808876;9000;812465;01/03/2004;2,58;0;149,8;0;30/04/2003;75,78;12,9;31/03/2003
8590124747637528;6700;250402;01/07/2005;0;0;42,09;0;28/04/2003;319,16;12,9;29/03/2003
8590121410137479;6900;503458;01/11/2004;0;10;69,66;0;07/05/2003;124,48;12,9;07/04/2003
8590124238361165;4900;925007;01/01/2005;26,92;0;1793,34;0;26/04/2003;1564,37;12,9;27/03/2003
8590125547842284;9000;359310;01/05/2004;0;10;66,41;0;07/05/2003;95,26;12,9;07/04/2003
8590128345724706;8900;359310;01/10/2004;0;0;-13,43;0;30/04/2003;39,29;12,9;31/03/2003
8590128977644129;7000;359310;01/07/2005;0;10;19,64;0;10/05/2003;11,74;12,9;10/04/2003
8590126225781631;9000;202028;01/05/2005;0;15;672,98;0;05/05/2003;270,31;12,9;05/04/2003
8590125918377349;9900;051593;01/01/2004;0;13;595,12;0;18/05/2003;1314,1;12,9;18/04/2003
8590127015016937;8900;962353;01/04/2004;0;16;763,63;0;30/04/2003;1317,99;12,9;31/03/2003
8590129267949317;9400;202028;01/09/2005;0;0;-2,08;0;27/04/2003;192,79;12,9;28/03/2003
8590122974573538;4900;051593;01/07/2004;0;136;3790,92;0;21/05/2003;4062,92;12,9;21/04/2003
8590124072645078;8000;051593;01/04/2005;19,78;0;1378,07;0;06/05/2003;1348,96;12,9;06/04/2003
Credit Cards;;;;;;;;;;;
